timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760643980884,294,GET Sleep Test,200,,500 Users Load Test 1-114,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
1760643980884,295,GET Sleep Test,200,,500 Users Load Test 1-116,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980885,295,GET Sleep Test,200,,500 Users Load Test 1-118,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980885,298,GET Sleep Test,200,,500 Users Load Test 1-117,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,0
1760643980885,298,GET Sleep Test,200,,500 Users Load Test 1-120,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,0
1760643980885,301,GET Sleep Test,200,,500 Users Load Test 1-119,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,301,0,0
1760643980890,384,GET Sleep Test,200,,500 Users Load Test 1-138,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,384,0,0
1760643980890,384,GET Sleep Test,200,,500 Users Load Test 1-137,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,384,0,0
1760643980888,387,GET Sleep Test,200,,500 Users Load Test 1-132,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,1
1760643980891,384,GET Sleep Test,200,,500 Users Load Test 1-142,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,384,0,0
1760643980886,390,GET Sleep Test,200,,500 Users Load Test 1-123,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,0
1760643981172,104,GET Sleep Test,200,,500 Users Load Test 1-92,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,104,0,0
1760643980886,391,GET Sleep Test,200,,500 Users Load Test 1-126,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,391,0,1
1760643980887,390,GET Sleep Test,200,,500 Users Load Test 1-130,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,1
1760643980889,388,GET Sleep Test,200,,500 Users Load Test 1-136,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980886,391,GET Sleep Test,200,,500 Users Load Test 1-125,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,391,0,0
1760643980889,388,GET Sleep Test,200,,500 Users Load Test 1-134,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
1760643980887,390,GET Sleep Test,200,,500 Users Load Test 1-127,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,0
1760643980888,389,GET Sleep Test,200,,500 Users Load Test 1-131,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980886,391,GET Sleep Test,200,,500 Users Load Test 1-121,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,391,0,0
1760643980886,391,GET Sleep Test,200,,500 Users Load Test 1-122,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,391,0,0
1760643980887,390,GET Sleep Test,200,,500 Users Load Test 1-128,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,1
1760643980887,390,GET Sleep Test,200,,500 Users Load Test 1-129,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,0
1760643980886,392,GET Sleep Test,200,,500 Users Load Test 1-124,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,392,0,0
1760643980892,387,GET Sleep Test,200,,500 Users Load Test 1-149,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980889,390,GET Sleep Test,200,,500 Users Load Test 1-133,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,0
1760643980890,389,GET Sleep Test,200,,500 Users Load Test 1-139,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,389,0,0
1760643980889,390,GET Sleep Test,200,,500 Users Load Test 1-135,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,390,0,1
1760643980893,386,GET Sleep Test,200,,500 Users Load Test 1-154,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,386,0,0
1760643980892,387,GET Sleep Test,200,,500 Users Load Test 1-148,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,387,0,0
1760643980891,388,GET Sleep Test,200,,500 Users Load Test 1-140,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,388,0,0
